,date,day,call_volume,date_index,week_index
472,16-Apr-13,tuesday,9325,472,68
473,17-Apr-13,wednesday,9057,473,68
474,18-Apr-13,thursday,8850,474,68
475,19-Apr-13,friday,8031,475,68
476,20-Apr-13,saturday,2040,476,68
477,21-Apr-13,sunday,1068,477,69
478,22-Apr-13,monday,9444,478,69
479,23-Apr-13,tuesday,8867,479,69
480,24-Apr-13,wednesday,8587,480,69
481,25-Apr-13,thursday,8922,481,69
482,26-Apr-13,friday,8207,482,69
483,27-Apr-13,saturday,2205,483,69
484,28-Apr-13,sunday,986,484,70
485,29-Apr-13,monday,9916,485,70
486,30-Apr-13,tuesday,8884,486,70
487,01-May-13,wednesday,8350,487,70
488,02-May-13,thursday,8317,488,70
489,03-May-13,friday,7586,489,70
490,04-May-13,saturday,2191,490,70
491,05-May-13,sunday,790,491,71
492,06-May-13,monday,1461,492,71
493,07-May-13,tuesday,9719,493,71
494,08-May-13,wednesday,9074,494,71
495,09-May-13,thursday,8854,495,71
496,10-May-13,friday,8493,496,71
497,11-May-13,saturday,2256,497,71
498,12-May-13,sunday,980,498,72
499,13-May-13,monday,9506,499,72
500,14-May-13,tuesday,10636,500,72
501,15-May-13,wednesday,8906,501,72
502,16-May-13,thursday,8212,502,72
503,17-May-13,friday,7642,503,72
504,18-May-13,saturday,2139,504,72
505,19-May-13,sunday,1013,505,73
506,20-May-13,monday,9137,506,73
507,21-May-13,tuesday,8420,507,73
508,22-May-13,wednesday,8425,508,73
509,23-May-13,thursday,8207,509,73
510,24-May-13,friday,7493,510,73
511,25-May-13,saturday,2038,511,73
512,26-May-13,sunday,808,512,74
513,27-May-13,monday,1573,513,74
514,28-May-13,tuesday,9389,514,74
515,29-May-13,wednesday,8441,515,74
516,30-May-13,thursday,8279,516,74
517,31-May-13,friday,7746,517,74
518,01-Jun-13,saturday,2140,518,74
519,02-Jun-13,sunday,973,519,75
520,03-Jun-13,monday,9490,520,75
521,04-Jun-13,tuesday,9474,521,75
522,05-Jun-13,wednesday,8856,522,75
523,06-Jun-13,thursday,8173,523,75
524,07-Jun-13,friday,7751,524,75
525,08-Jun-13,saturday,2033,525,75
526,09-Jun-13,sunday,1008,526,76
527,10-Jun-13,monday,9323,527,76
528,11-Jun-13,tuesday,8695,528,76
529,12-Jun-13,wednesday,8388,529,76
530,13-Jun-13,thursday,8297,530,76
531,14-Jun-13,friday,7395,531,76
532,15-Jun-13,saturday,2055,532,76
533,16-Jun-13,sunday,983,533,77
534,17-Jun-13,monday,9390,534,77
535,18-Jun-13,tuesday,8521,535,77
536,19-Jun-13,wednesday,8413,536,77
537,20-Jun-13,thursday,8395,537,77
538,21-Jun-13,friday,7456,538,77
539,22-Jun-13,saturday,2207,539,77
540,23-Jun-13,sunday,1046,540,78
541,24-Jun-13,monday,9595,541,78
542,25-Jun-13,tuesday,8677,542,78
543,26-Jun-13,wednesday,8332,543,78
544,27-Jun-13,thursday,8103,544,78
545,28-Jun-13,friday,7595,545,78
546,29-Jun-13,saturday,2154,546,78
547,30-Jun-13,sunday,1077,547,79
548,01-Jul-13,monday,9743,548,79
549,02-Jul-13,tuesday,8699,549,79
550,03-Jul-13,wednesday,8350,550,79
551,04-Jul-13,thursday,8319,551,79
552,05-Jul-13,friday,7444,552,79
553,06-Jul-13,saturday,2048,553,79
554,07-Jul-13,sunday,915,554,80
555,08-Jul-13,monday,9702,555,80
556,09-Jul-13,tuesday,9212,556,80
557,10-Jul-13,wednesday,8616,557,80
558,11-Jul-13,thursday,8636,558,80
559,12-Jul-13,friday,7457,559,80
560,13-Jul-13,saturday,1973,560,80
561,14-Jul-13,sunday,1078,561,81
562,15-Jul-13,monday,9932,562,81
563,16-Jul-13,tuesday,9184,563,81
564,17-Jul-13,wednesday,8310,564,81
565,18-Jul-13,thursday,8401,565,81
566,19-Jul-13,friday,7707,566,81
567,20-Jul-13,saturday,2199,567,81
568,21-Jul-13,sunday,1099,568,82
569,22-Jul-13,monday,9411,569,82
570,23-Jul-13,tuesday,10228,570,82
571,24-Jul-13,wednesday,9698,571,82
572,25-Jul-13,thursday,8916,572,82
573,26-Jul-13,friday,8723,573,82
574,27-Jul-13,saturday,2639,574,82
575,28-Jul-13,sunday,1389,575,83
576,29-Jul-13,monday,10596,576,83
577,30-Jul-13,tuesday,9645,577,83
578,31-Jul-13,wednesday,8536,578,83
579,01-Aug-13,thursday,8677,579,83
580,02-Aug-13,friday,7964,580,83
581,03-Aug-13,saturday,2775,581,83
582,04-Aug-13,sunday,1296,582,84
583,05-Aug-13,monday,10213,583,84
584,06-Aug-13,tuesday,9201,584,84
585,07-Aug-13,wednesday,8775,585,84
586,08-Aug-13,thursday,8053,586,84
587,09-Aug-13,friday,7522,587,84
588,10-Aug-13,saturday,2155,588,84
589,11-Aug-13,sunday,1030,589,85
590,12-Aug-13,monday,9411,590,85
591,13-Aug-13,tuesday,8525,591,85
592,14-Aug-13,wednesday,8440,592,85
593,15-Aug-13,thursday,8306,593,85
594,16-Aug-13,friday,7864,594,85
595,17-Aug-13,saturday,2585,595,85
596,18-Aug-13,sunday,1139,596,86
597,19-Aug-13,monday,9165,597,86
598,20-Aug-13,tuesday,8263,598,86
599,21-Aug-13,wednesday,8085,599,86
600,22-Aug-13,thursday,7859,600,86
601,23-Aug-13,friday,7525,601,86
602,24-Aug-13,saturday,2361,602,86
603,25-Aug-13,sunday,1164,603,87
604,26-Aug-13,monday,1865,604,87
605,27-Aug-13,tuesday,9505,605,87
606,28-Aug-13,wednesday,8681,606,87
607,29-Aug-13,thursday,8414,607,87
608,30-Aug-13,friday,8042,608,87
609,31-Aug-13,saturday,2307,609,87
610,01-Sep-13,sunday,1041,610,88
611,02-Sep-13,monday,9792,611,88
612,03-Sep-13,tuesday,9167,612,88
613,04-Sep-13,wednesday,8458,613,88
614,05-Sep-13,thursday,7956,614,88
615,06-Sep-13,friday,7617,615,88
616,07-Sep-13,saturday,2113,616,88
617,08-Sep-13,sunday,980,617,89
618,09-Sep-13,monday,9659,618,89
619,10-Sep-13,tuesday,9047,619,89
620,11-Sep-13,wednesday,11727,620,89
621,12-Sep-13,thursday,9415,621,89
622,13-Sep-13,friday,7841,622,89
623,14-Sep-13,saturday,2440,623,89
624,15-Sep-13,sunday,1099,624,90
625,16-Sep-13,monday,9778,625,90
626,17-Sep-13,tuesday,8929,626,90
627,18-Sep-13,wednesday,8337,627,90
628,19-Sep-13,thursday,8242,628,90
629,20-Sep-13,friday,7696,629,90
630,21-Sep-13,saturday,2061,630,90
631,22-Sep-13,sunday,939,631,91
632,23-Sep-13,monday,9563,632,91
633,24-Sep-13,tuesday,8668,633,91
634,25-Sep-13,wednesday,8195,634,91
635,26-Sep-13,thursday,8102,635,91
636,27-Sep-13,friday,7176,636,91
637,28-Sep-13,saturday,2221,637,91
638,29-Sep-13,sunday,924,638,92
639,30-Sep-13,monday,9380,639,92
640,01-Oct-13,tuesday,8836,640,92
641,02-Oct-13,wednesday,8401,641,92
642,03-Oct-13,thursday,8640,642,92
643,04-Oct-13,friday,7751,643,92
644,05-Oct-13,saturday,2132,644,92
645,06-Oct-13,sunday,972,645,93
646,07-Oct-13,monday,9952,646,93
647,08-Oct-13,tuesday,8498,647,93
648,09-Oct-13,wednesday,8564,648,93
649,10-Oct-13,thursday,8706,649,93
650,11-Oct-13,friday,7747,650,93
651,12-Oct-13,saturday,2278,651,93
652,13-Oct-13,sunday,1040,652,94
653,14-Oct-13,monday,9744,653,94
654,15-Oct-13,tuesday,8645,654,94
655,16-Oct-13,wednesday,8644,655,94
656,17-Oct-13,thursday,8175,656,94
657,18-Oct-13,friday,7672,657,94
658,19-Oct-13,saturday,2268,658,94
659,20-Oct-13,sunday,1123,659,95
660,21-Oct-13,monday,10199,660,95
661,22-Oct-13,tuesday,9417,661,95
662,23-Oct-13,wednesday,8813,662,95
663,24-Oct-13,thursday,8610,663,95
664,25-Oct-13,friday,7876,664,95
665,26-Oct-13,saturday,2195,665,95
666,27-Oct-13,sunday,1086,666,96
667,28-Oct-13,monday,10451,667,96
668,29-Oct-13,tuesday,9124,668,96
